<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
양밖에	양/ncn+밖에/jxc
남아	남/pvg+아/ecx
있지	있/px+지/ecx
않다	않/px+다/ef
.	./sf
그렇다면	그렇다면/maj
과연	과연/mag
3	3/nnc
분	분/nbu
안에	안/ncn+에/jca
강을	강/ncn+을/jco
건널	건너/pvg+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
건널	건너/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다면/ecs
어떤	어떤/mmd
방법으로	방법/ncn+으로/jca
해야	하/pvg+어야/ecs
3	3/nnc
분	분/nbu
안에	안/ncn+에/jca
도착할	도착/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
건널	건너/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
거야	거/nbn+야/ef
.	./sf
왜냐하면	왜냐하면/maj
배는	배/ncn+는/jxc
강물의	강물/ncn+의/jcm
흐름을	흐름/ncn+을/jco
타고	타/pvg+고/ecx
휩쓸려	휩쓸리/pvg+어/ecs
내려갈	내리/pvg+어/ecs+가/pvg+ㄹ/etm
테니까	터/nbn+이/jp+니까/ecs
3	3/nnc
분	분/nbu
동안에	동안/ncn+에/jca
도착한다는	도착/ncpa+하/xsv+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
불가능해	불/xp+가능/ncps+하/xsm+어/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
아니야	아니/paa+야/ef
.	./sf
보트의	보트/ncn+의/jcm
앞부분을	앞/ncn+부분/ncn+을/jco
상류	상류/ncn
쪽으로	쪽/nbn+으로/jca
비스듬히	비스듬/ncn+히/xsa
향하도록	향하/pvg+도록/ecs
해서	하/pvg+어서/ecs
가면	가/pvg+면/ecs
강을	강/ncn+을/jco
건널	건너/pvg+ㄹ/etm
수	수/nbn
있어	있/paa+어/ef
.	./sf
아마	아마/mag
정확히	정확/ncn+히/xsa
3	3/nnc
분	분/nbu
후에	후/ncn+에/jca
도착할	도착/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
거야	거/nbn+야/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
내	내/npp
생각에는	생각/ncn+에/jca+는/jxc
강을	강/ncn+을/jco
건너는	건너/pvg+는/etm
것이	것/nbn+이/jcs
목적이니까	목적/ncn+이/jp+니까/ef
.	./sf
강	강/ncn
건너	건너/pvg+어/ecs
어느	어느/mmd
쪽에	쪽/nbn+에/jca
도달했느냐는	도달/ncpa+하/xsv+었/ep+느냐/ef+는/jxc
그다지	그다지/mag
중요하지	중요/ncps+하/xsm+지/ecx
않다고	않/px+다고/ecs
생각해	생각/ncpa+하/xsv+어/ef
.	./sf
따라서	따라서/maj
보트	보트/ncn
앞	앞/ncn
부분을	부분/ncn+을/jco
강	강/ncn
흐름과	흐름/ncn+과/jct
수직	수직/ncn
방향으로	방향/ncn+으로/jca
건너면	건너/pvg+면/ecs
,	,/sp
3	3/nnc
분	분/nbu
동안에	동안/ncn+에/jca
도착할	도착/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
거야	거/nbn+야/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
곰곰이	곰곰이/nq
말대로라면	말/ncn+대로/jxc+라면/ecs
보트를	보트/ncn+를/jco
강	강/ncn
하류	하류/ncn
쪽으로	쪽/nbn+으로/jca
비스듬히	비스듬/ncn+히/xsa
향하게	향하/pvg+게/ecs
해도	하/pvg+어도/ecs
강	강/ncn
흐름을	흐름/ncn+을/jco
탈	타/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
거야	거/nbn+야/ef
.	./sf
아마	아마/mag
도착하는	도착/ncpa+하/xsv+는/etm
데	데/nbn
3	3/nnc
분도	분/nbu+도/jxc
안	안/mag
걸릴걸	걸리/pvg+ㄹ걸/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
글쎄	글쎄/mag
,	,/sp
보트가	보트/ncn+가/jcs
어느	어느/mmd
쪽을	쪽/nbn+을/jco
향하는가	향하/pvg+는가/ef
하는	하/pvg+는/etm
것은	것/nbn+은/jxc
문제가	문제/ncn+가/jcs
안될	안되/pvg+ㄹ/etm
120891200 
것	것/nbn
같아	같/paa+아/ef
.	./sf
어쨌든	어쨌든/mag
시속	시속/ncn
20	20/nnc
km	km/su
로	로/jca
달릴	달리/pvg+ㄹ/etm
테고	터/nbn+이/jp+고/ecs
강폭은	강폭/ncn+은/jxc
1	1/nnc
km	km/su
이니까	이/jp+니까/ef
.	./sf
어떻게	어떻/pad+게/ecs
방향을	방향/ncn+을/jco
잡든	잡/pvg+든/ecs
3	3/nnc
분이면	분/nbu+이/jp+면/ecs
강	강/ncn
어느쪽이든	어느/mmd+쪽/nbn+이/jp+든/ecs
도착할	도착/ncpa+하/xsv+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/px+ㄹ까/ef+요/jxf
?	?/sf
벡터를	벡터/ncn+를/jco
공부한	공부/ncpa+하/xsv+ㄴ/etm
사람에게는	사람/ncn+에게/jca+는/jxc
쉬운	쉽/paa+ㄴ/etm
문제일	문제/ncn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
하지만	하지만/maj
벡터를	벡터/ncn+를/jco
모르는	모르/pvg+는/etm
사람이라고	사람/ncn+이/jp+라고/ecs
해도	하/pvg+어도/ecs
차분히	차분/ncn+히/xsa
생각해	생각/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
풀	풀/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
문제다	문제/ncn+다/ef
.	./sf
자	자/ii
,	,/sp
문제를	문제/ncn+를/jco
살펴보자	살피/pvg+어/ecx+보/px+자/ef
.	./sf
이	이/mmd
문제의	문제/ncn+의/jcm
초점은	초점/ncn+은/jxc
서로	서로/ncn
수직이	수직/ncn+이/jcc
되는	되/pvg+는/etm
속도	속도/ncn
성분끼리는	성분/ncn+끼리/jxc+는/jxc
영향을	영향/ncn+을/jco
받지	받/pvg+지/ecx
않는다는	않/px+는다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
강흐름에	강/ncn+흐름/ncn+에/jca
수직한	수직/ncpa+하/xsv+ㄴ/etm
보트의	보트/ncn+의/jcm
속력은	속력/ncn+은/jxc
강물의	강물/ncn+의/jcm
흐름에	흐름/ncn+에/jca
영향을	영향/ncn+을/jco
받지	받/pvg+지/ecx
않고	않/px+고/ecc
시속	시속/ncn
20	20/nnc
km	km/su
의	의/jcm
속력으로	속력/ncn+으로/jca
달린다	달리/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
보트를	보트/ncn+를/jco
강	강/ncn
흐름과	흐름/ncn+과/jct
수직	수직/ncn
방향으로	방향/ncn+으로/jca
해놓고	하/pvg+어/ecx+놓/px+고/ecs
달리면	달리/pvg+면/ecs
,	,/sp
어쨌든	어쨌든/mag
3	3/nnc
분	분/nbu
후에는	후/ncn+에/jca+는/jxc
그	그/mmd
방향으로	방향/ncn+으로/jca
1	1/nnc
km	km/su
를	를/jco
간	가/pvg+ㄴ/etm
셈이	셈/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
그렇다면	그렇다면/maj
실제로	실제/ncn+로/jca
보트가	보트/ncn+가/jcs
닿는	닿/pvg+는/etm
곳은	곳/ncn+은/jxc
어디일까	어디/npd+이/jp+ㄹ까/ef
?	?/sf
수직	수직/ncn
이동하는	이동/ncpa+하/xsv+는/etm
3	3/nnc
분동안에	분/nbu+동안/ncn+에/jca
배는	배/ncn+는/jxc
1	1/nnc
km	km/su
의	의/jcm
속력으로	속력/ncn+으로/jca
흐르는	흐르/pvg+는/etm
강물에	강물/ncn+에/jca
의해	의하/pvg+어/ecs
하류로	하류/ncn+로/jca
밀려	밀리/pvg+어/ecs
내려간다	내리/pvg+어/ecs+가/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
3	3/nnc
분	분/nbu
*	*/sy
1	1/nnc
km	km/su
/	//sp
h	h/su
=	=/sy
아래에	아래/ncn+에/jca
도착한다	도착/ncpa+하/xsv+ㄴ다/ef
.	./sf
이것을	이것/npd+을/jco
속도의	속도/ncn+의/jcm
덧셈으로	덧셈/ncn+으로/jca
나타내면	나타내/pvg+면/ecs
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
좀	좀/mag
더	더/mag
자세히	자세/ncn+히/xsa
설명하면	설명/ncpa+하/xsv+면/ecs
,	,/sp
보트를	보트/ncn+를/jco
상류나	상류/ncn+나/jcj
하류	하류/ncn
쪽으로	쪽/nbn+으로/jca
비스듬히	비스듬/ncn+히/xsa
틀면	틀/pvg+면/ecs
그만큼	그/mmd+만큼/nbn
보트	보트/ncn
속도의	속도/ncn+의/jcm
수직	수직/ncn
성분이	성분/ncn+이/jcs
줄어든다	줄/pvg+어/ecx+들/px+ㄴ다/ef
.	./sf
보트의	보트/ncn+의/jcm
속도를	속도/ncn+를/jco
V	V/f
라고	라고/ecs
한다면	하/pvg+ㄴ다면/ecs
,	,/sp
V	V/f
를	를/jco
Vx	Vx/f
와	와/jcj
Vy	Vy/f
로	로/jca
나눌	나누/pvg+ㄹ/etm
때	때/ncn
어느	어느/mmd
경우나	경우/ncn+나/jcj
Vy	Vy/f
는	는/jxc
V	V/f
보다	보다/jca
작음을	작/paa+음/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecs
,	,/sp
따라서	따라서/maj
도착	도착/ncn
시간이	시간/ncn+이/jcs
늦어진다	늦/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
따라서	따라서/maj
정답은	정답/ncn+은/jxc
곰곰이	곰곰이/nq
.	./sf
2	2/nnc
차원	차원/nbu
뺄셈법	뺄셈/ncn+법/ncn
뺄셈은	뺄셈/ncn+은/jxc
덧셈만	덧셈/ncn+만/jxc
할	하/pvg+ㄹ/etm
줄	줄/nbn
알면	알/pvg+면/ecs
응용이	응용/ncn+이/jcs
가능하다	가능/ncps+하/xsm+다/ef
.	./sf
동쪽으로	동쪽/ncn+으로/jca
시속	시속/ncn
10	10/nnc
km	km/su
로	로/jca
가는	가/pvg+는/etm
운동에	운동/ncn+에/jca
대해	대하/pvg+어/ecs
,	,/sp
서쪽으로	서쪽/ncn+으로/jca
같은	같/paa+은/etm
속력으로	속력/ncn+으로/jca
가면	가/pvg+면/ecs
-	-/sd
10	10/nnc
km	km/su
/	//sp
h	h/su
로	로/jca
표시할	표시/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이렇게	이렇/pad+게/ecs
마이너스를	마이너스/ncn+를/jco
붙이는	붙이/pvg+는/etm
것은	것/nbn+은/jxc
과연	과연/mag
무슨	무슨/mmd
의미가	의미/ncn+가/jcs
있는	있/paa+는/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
한번	한번/ncn
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
보트가	보트/ncn+가/jcs
출발	출발/ncn
지점의	지점/ncn+의/jcm
바로	바로/mag
맞은편	맞은편/ncn
강기슭에	강/ncn+기슭/ncn+에/jca
있는	있/paa+는/etm
선착장에	선착/ncn+장/xsn+에/jca
도착해야	도착/ncpa+하/xsv+어야/ecs
하는	하/px+는/etm
경우를	경우/ncn+를/jco
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
이	이/mmd
경우에는	경우/ncn+에/jca+는/jxc
강	강/ncn
흐름에	흐름/ncn+에/jca
대해	대하/pvg+어/ecx
수직한	수직/ncpa+하/xsv+ㄴ/etm
길을	길/ncn+을/jco
따라	따르/pvg+아/ecs
보트가	보트/ncn+가/jcs
이동해야	이동/ncpa+하/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
역시	역시/mag
보트의	보트/ncn+의/jcm
속력은	속력/ncn+은/jxc
시속	시속/ncn
20	20/nnc
km	km/su
이고	이/jp+고/ecc
,	,/sp
강	강/ncn
폭은	폭/ncn+은/jxc
1	1/nnc
km	km/su
이다	이/jp+다/ef
.	./sf
그러나	그러나/maj
이번에는	이/mmd+번/nbn+에/jca+는/jxc
보트의	보트/ncn+의/jcm
연료를	연료/ncn+를/jco
충분하게	충분/ncsp+하/xsm+게/ecs
준비했다	준비/ncpa+하/xsv+었/ep+다/ef
.	./sf
강물의	강물/ncn+의/jcm
속력이	속력/ncn+이/jcs
시속	시속/ncn
1	1/nnc
km	km/su
일	이/jp+ㄹ/etm
때	때/ncn
,	,/sp
보트가	보트/ncn+가/jcs
바로	바로/mag
맞은편	맞은편/ncn
선착장에	선착/ncn+장/xsn+에/jca
도착하는	도착/ncpa+하/xsv+는/etm
데	데/nbn
걸리는	걸리/pvg+는/etm
시간은	시간/ncn+은/jxc
얼마나	얼마나/mag
될까	되/pvg+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
보트가	보트/ncn+가/jcs
어느	어느/mmd
방향으로	방향/ncn+으로/jca
머리를	머리/ncn+를/jco
돌리느냐에	돌리/pvg+느냐/ef+에/jca
따라	따르/pvg+아/ecs
달라질	다르/paa+아/ecx+지/px+ㄹ/etm
것이므로	것/nbn+이/jp+므로/ecs
,	,/sp
도착	도착/ncn
시간도	시간/ncn+도/jxc
달라질	다르/paa+아/ecx+지/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
하지만	하지만/maj
,	,/sp
보트가	보트/ncn+가/jcs
수직으로	수직/ncpa+으로/jca
나아가도록	나아가/pvg+도록/ecs
한다고	하/pvg+ㄴ다고/ecs
했으니까	하/pvg+었/ep+으니까/ecs
.	./sf
시간	시간/ncn
=	=/sy
0	0/nnc
.	./sf
05	05/nnc
시간	시간/nbu
=	=/sy
0	0/nnc
.	./sf
05	05/nnc
*	*/sy
60	60/nnc
분	분/nbu
=	=/sy
3	3/nnc
분이	분/nbu+이/jcs
걸릴	걸리/pvg+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없지	없/paa+지/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
꿈돌이의	꿈돌이/nq+의/jcm
계산은	계산/ncn+은/jxc
강물의	강물/ncn+의/jcm
흐름을	흐름/ncn+을/jco
전혀	전혀/mag
고려하지	고려/ncpa+하/xsv+지/ecx
않았어	않/px+았/ep+어/ef
.	./sf
강물의	강물/ncn+의/jcm
속력과	속력/ncn+과/jcj
보트의	보트/ncn+의/jcm
속력을	속력/ncn+을/jco
더하면	더하/pvg+면/ecs
21	21/nnc
km	km/su
/	//sp
h	h/su
가	가/jcc
되므로	되/pvg+므로/ecs
시간	시간/ncn
즉	즉/mag
,	,/sp
2	2/nnc
.	./sf
88	88/nnc
분	분/nbu
정도	정도/ncn
걸릴	걸리/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
곰곰이의	곰곰이/nq+의/jcm
생각에는	생각/ncn+에/jca+는/jxc
문제가	문제/ncn+가/jcs
있어	있/paa+어/ecx
.	./sf
어쨌든	어쨌든/mag
보트는	보트/ncn+는/jxc
상류쪽	상류/ncn+쪽/nbn
으로	으로/jca
비스듬히	비스듬/ncn+히/xsa
올라가야	오르/pvg+아/ecs+가/pvg+야/ecs
하니까	하/px+니까/ecs
강물	강물/ncn
속력을	속력/ncn+을/jco
빼야	빼/pvg+야/ecs
하지	하/px+지/ecx
않을까	않/px+을까/ef
?	?/sf
강물의	강물/ncn+의/jcm
속력을	속력/ncn+을/jco
보트	보트/ncn
속력에서	속력/ncn+에서/jca
빼면	빼/pvg+면/ecs
19	19/nnc
km	km/su
/	//sp
h	h/su
가	가/jcc
되므로	되/pvg+므로/ecs
시간	시간/ncn
즉	즉/mag
,	,/sp
3	3/nnc
.	./sf
16	16/nnc
분이	분/nbu+이/jcs
걸릴	걸리/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
너희들은	너희/npp+들/xsn+은/jxc
앞의	앞/ncn+의/jcm
설명도	설명/ncn+도/jxc
안	안/mag
읽었니	읽/pvg+었/ep+니/ef
?	?/sf
속도는	속도/ncn+는/jxc
벡터적으로	벡터/ncn+적/xsn+으로/jca
더하는	더하/pvg+는/etm
거야	거/nbn+야/ef
,	,/sp
그러니까	그러니까/ncn
강을	강/ncn+을/jco
건너는	건너/pvg+는/etm
보트	보트/ncn
속도	속도/ncn
성분은	성분/ncn+은/jxc
이니까	이/jp+니까/ecs
,	,/sp
대략	대략/ncn
시속	시속/ncn
17	17/nnc
km	km/su
와	와/jcj
18	18/nnc
km	km/su
사이가	사이/ncn+가/jcc
되지	되/pvg+지/ef
.	./sf
3	3/nnc
분은	분/nbu+은/jxc
넘고	넘/pvg+고/ecc
똘똘이	똘똘이/nq
계산보다는	계산/ncn+보다/jca+는/jxc
시간이	시간/ncn+이/jcs
조금	조금/mag
덜	덜/mag
걸릴	걸리/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
찬찬히	찬찬/ncn+히/xsa
계산해	계산/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
정확한	정확/ncps+하/xsm+ㄴ/etm
값이	값/ncn+이/jcs
나올	나오/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/px+ㄹ까/ef+요/jxf
?	?/sf
위의	위/ncn+의/jcm
문제를	문제/ncn+를/jco
그림으로	그림/ncn+으로/jca
그려	그리/pvg+어/ecx
보면	보/px+면/ecs
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
V	V/f
는	는/jxc
보트의	보트/ncn+의/jcm
속력	속력/ncn
20	20/nnc
km	km/su
/	//sp
h	h/su
를	를/jco
나타내고	나타내/pvg+고/ecc
,	,/sp
Vx	Vx/f
는	는/jxc
강물의	강물/ncn+의/jcm
흐름과	흐름/ncn+과/jct
나란한	나란/ncps+하/xsm+ㄴ/etm
방향의	방향/ncn+의/jcm
성분이며	성분/ncn+이/jp+며/ecc
,	,/sp
Vy	Vy/f
는	는/jxc
강물의	강물/ncn+의/jcm
흐름에	흐름/ncn+에/jca
수직한	수직/ncpa+하/xsv+ㄴ/etm
방향의	방향/ncn+의/jcm
성분이다	성분/ncn+이/jp+다/ef
.	./sf
보트가	보트/ncn+가/jcs
수직	수직/ncn
방향으로	방향/ncn+으로/jca
나가려면	나가/pvg+려면/ecs
Vx	Vx/f
와	와/jcj
강물의	강물/ncn+의/jcm
속력이	속력/ncn+이/jcs
같아야	같/paa+아야/ecs
휩쓸려	휩쓸리/pvg+어/ecs
내려가지	내리/pvg+어/ecs+가/pvg+지/ecx
않고	않/px+고/ecs
똑바로	똑바로/mag
나갈	나가/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
강물의	강물/ncn+의/jcm
속력이	속력/ncn+이/jcs
1	1/nnc
km	km/su
/	//sp
h	h/su
이므로	이/jp+므로/ecs
,	,/sp
Vx	Vx/f
=	=/sy
1	1/nnc
km	km/su
/	//sp
h	h/su
가	가/jcc
되어야	되/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
따라서	따라서/maj
강을	강/ncn+을/jco
건너는	건너/pvg+는/etm
데	데/nbn
필요한	필요/ncps+하/xsm+ㄴ/etm
성분인	성분/ncn+이/jp+ㄴ/etm
Vy	Vy/f
는	는/jxc
피타고라스	피타고라스/nq
정리에	정리/ncn+에/jca
의해	의하/pvg+어/ecs
이므로	이/jp+므로/ecs
,	,/sp
대입하면	대입/ncpa+하/xsv+면/ecs
Vy	Vy/f
=	=/sy
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
즉	즉/mag
,	,/sp
이	이/jcs
Vy	Vy/f
의	의/jcm
속력으로	속력/ncn+으로/jca
강을	강/ncn+을/jco
건너는	건너/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
속력이	속력/ncn+이/jcs
크기만	크기/ncn+만/jxc
갖는데	갖/pvg+는데/ecs
비해	비하/pvg+어/ecs
,	,/sp
이와	이/npd+와/jct
같이	같/paa+이/xsa
보트가	보트/ncn+가/jcs
어느	어느/mmd
방향으로	방향/ncn+으로/jca
향해	향하/pvg+어/ecs
가느냐에	가/pvg+느냐/ef+에/jca
따라	따르/pvg+아/ecs
달라지는	다르/paa+아/ecx+지/px+는/etm
것을	것/nbn+을/jco
속도라고	속도/ncn+라고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
이렇게	이렇/pad+게/ecs
크기뿐	크기/ncn+뿐/jxc
아니라	아니/paa+라/ecs
방향에	방향/ncn+에/jca
따라서	따르/pvg+아서/ecs
달라지는	다르/paa+아/ecx+지/px+는/etm
양을	양/ncn+을/jco
벡터라고	벡터/ncn+라고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
벡터에는	벡터/ncn+에/jca+는/jxc
속도뿐	속도/ncn+뿐/jxc
아니라	아니/paa+라/ecs
가속도	가속도/ncn
,	,/sp
힘	힘/ncn
,	,/sp
운동량	운동/ncn+량/ncn
등이	등/nbn+이/jcs
있다	있/paa+다/ef
.	./sf
정답은	정답/ncn+은/jxc
얌전이	얌전이/nq
.	./sf
누가	누/npp+가/jcs
빨리	빠르/paa+이/xsa
돌아올까	돌/pvg+아/ecs+오/pvg+ㄹ까/ef
?	?/sf
한강에	한강/nq+에/jca
가보면	가/pvg+아/ecx+보/px+면/ecs
물살을	물살/ncn+을/jco
가르며	가르/pvg+며/ecs
신나게	신나/pvg+게/ecs
달리는	달리/pvg+는/etm
보트를	보트/ncn+를/jco
구경할	구경/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
유유히	유유/ncn+히/xsa
흐르는	흐르/pvg+는/etm
강물	강물/ncn
위에서	위/ncn+에서/jca
종횡무진으로	종횡무진/ncn+으로/jca
누비고	누비/pvg+고/ecs
다니는	다니/pvg+는/etm
보트는	보트/ncn+는/jxc
보는	보/pvg+는/etm
것만으로도	것/nbn+만/jxc+으로/jca+도/jxc
시원하다	시원/ncps+하/xsm+다/ef
.	./sf
보트는	보트/ncn+는/jxc
모터를	모터/ncn+를/jco
회전시켜	회전/ncpa+시키/xsv+어/ecx
스크류로	스크류/ncn+로/jca
물을	물/ncn+을/jco
밀어내어	밀/pvg+어/ecs+내/pvg+어/ecs
그	그/mmd
반작용으로	반/xp+작용/ncn+으로/jca
전진하게	전진/ncpa+하/xsv+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
,	,/sp
이	이/mmd
강물의	강물/ncn+의/jcm
