<tdmsfile>
#17:ph08[1003]
나트륨	나트륨/ncn
수	수/nbn
있다	있/paa+다/ef
.	./sf
#17:ph07[515]
여기서	여기/npd+서/jca
d	d/f
는	는/jxc
용수철이	용수철/ncn+이/jcs
압축되지도	압축/ncpa+되/xsv+지/ecx+도/jxc
늘려지지도	늘리/pvg+어/ecx+지/px+지/ecx+도/jxc
않은	않/px+은/etm
평형상태에	평형/ncn+상태/ncn+에/jca
있을	있/paa+을/etm
때의	때/ncn+의/jcm
끝점으로부터	끝/ncn+점/ncn+으로/jca+부터/jxc
움직인	움직이/pvg+ㄴ/etm
곳에까지의	곳/ncn+에/jca+까지/jxc+의/jcm
변위이고	변위/ncn+이/jp+고/ecc
k	k/f
는	는/jxc
용수철상수	용수철/ncn+상수/ncn
(	(/sl
용수철	용수철/ncn
강도의	강도/ncn+의/jcm
척도	척도/ncn
)	)/sr
이다	이/jp+다/ef
.	./sf
#17:ph07[268]
만일	만일/mag
주어진	주/pvg+어/ecx+지/px+ㄴ/etm
함수를	함수/ncn+를/jco
식으로는	식/ncn+으로/jca+는/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
없고	없/paa+고/ecc
함수의	함수/ncn+의/jcm
모양만을	모양/ncn+만/jxc+을/jco
알고	알/pvg+고/ecx
있는	있/px+는/etm
경우에도	경우/ncn+에/jca+도/jxc
미분계수와	미분/ncn+계수/ncn+와/jcj
적분값을	적분/ncn+값/ncn+을/jco
구할	구하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#17:ph07[243]
용수철의	용수철/ncn+의/jcm
기하학적	기하/ncn+학/xsn+적/xsn
구조나	구조/ncn+나/jcj
용수철의	용수철/ncn+의/jcm
재료와	재료/ncn+와/jct
함께	함께/mag
용수철	용수철/ncn
자체의	자체/ncn+의/jcm
길이는	길이/ncn+는/jxc
용수철의	용수철/ncn+의/jcm
탄성계수	탄성/ncn+계수/ncn
k	k/f
값에	값/ncn+에/jca
영향을	영향/ncn+을/jco
주는	주/pvg+는/etm
인자	인자/ncn
중의	중/nbn+의/jcm
하나이다	하나/nnc+이/jp+다/ef
.	./sf
#17:ph07[205]
한	한/nnc
입자가	입자/ncn+가/jcs
위치	위치/ncn
(	(/sl
2	2/nnc
m	m/su
,	,/sp
3	3/nnc
m	m/su
)	)/sr
에서	에서/jca
(	(/sl
3	3/nnc
m	m/su
,	,/sp
0	0/nnc
m	m/su
)	)/sr
까지	까지/jxc
힘	힘/ncn
F	F/f
=(	=/sy+(/sl
3	3/nnc
xN	xN/su
)	)/sr
i	i/f
+(	+/sy+(/sl
4	4/nnc
N	N/su
)	)/sr
j	j/f
에	에/jca
의해	의하/pvg+어/ecs
이동했을	이동/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
,	,/sp
이	이/mmd
힘에	힘/ncn+에/jca
의하여	의하/pvg+여/ecs
행한	행하/pvg+ㄴ/etm
일은	일/ncn+은/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#17:ph07[201]
미소변위	미소/ncn+변위/ncn
dr	dr/f
만큼	만큼/nbn
이동하는	이동/ncpa+하/xsv+는/etm
동안	동안/ncn
힘	힘/ncn
F	F/f
에	에/jca
의해	의하/pvg+어/ecs
입자에	입자/ncn+에/jca
작용한	작용/ncpa+하/xsv+ㄴ/etm
미소	미소/ncn
일	일/ncn
dW	dW/f
는	는/jxc
식	식/ncn
(	(/sl
7	7/nno
-	-/sd
4	4/nno
)	)/sr
에	에/jca
의하면	의하/pvg+면/ecs
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
#17:ph07[119]
상자를	상자/ncn+를/jco
수직하게	수직/ncpa+하/xsv+게/ecs
바로	바로/mag
들어올리거나	들/pvg+어/ecs+올리/pvg+거나/ecc
혹은	혹은/maj
임의	임의/ncn
각도의	각도/ncn+의/jcm
비탈면을	비탈/ncn+면/ncn+을/jco
따라	따르/pvg+아/ecs
들어올리거나	들/pvg+어/ecs+올리/pvg+거나/ecc
최종	최종/ncn
결과는	결과/ncn+는/jxc
꼭	꼭/mag
같음을	같/paa+음/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#17:ph07[31]
한	한/nnc
학생이	학생/ncn+이/jcs
고양이를	고양이/ncn+를/jco
들어	들/pvg+어/ecs
방을	방/ncn+을/jco
가로	가로/mag
질러	지르/pvg+어/ecs
일정한	일정/ncps+하/xsm+ㄴ/etm
속도로	속도/ncn+로/jca
운반한	운반/ncpa+하/xsv+ㄴ/etm
후	후/ncn
다시	다시/mag
방바닥에	방/ncn+바닥/ncn+에/jca
내려놓는	내리/pvg+어/ecs+놓/pvg+는/etm
경우를	경우/ncn+를/jco
생각하자	생각/ncpa+하/xsv+자/ef
[	[/sl
그림	그림/ncn
(	(/sl
7	7/nno
-	-/sd
4	4/nno
)].	)/sr+]/sr+./sf
#17:ph06[449]
(	(/sl
b	b/f
)	)/sr
쇠덩어리에	쇠/ncn+덩어리/ncn+에/jca
수평면과	수평/ncn+면/ncn+과/jcj
60	60/nnc
501013220       <                       </sl
TEX	TEX/f
>$^\	>/sr+$/su+^/sy+\/sp
circ	circ/f
501013260       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
각도로	각도/ncn+로/jca
윗방향의	윗방향/ncn+의/jcm
힘을	힘/ncn+을/jco
가할	가하/pvg+ㄹ/etm
때	때/ncn
쇠덩어리가	쇠/ncn+덩어리/ncn+가/jco
움직이기	움직이/pvg+기/etn
시작할	시작/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
위한	위하/pvg+ㄴ/etm
힘의	힘/ncn+의/jcm
크기를	크기/ncn+를/jco
구하여라	구하/pvg+여라/ef
.	./sf
#17:ph06[397]
간혹	간혹/mag
폭풍이	폭풍/ncn+이/jcs
사막에	사막/ncn+에/jca
불어와서	불/pvg+어/ecx+오/px+아서/ecs
단단한	단단/ncps+하/xsm+ㄴ/etm
사막바닥에	사막/ncn+바닥/ncn+에/jca
얇은	얇/paa+은/etm
진흙층을	진흙/ncn+층/xsn+을/jco
만들게	만들/pvg+게/ecs
되고	되/pvg+고/ecc
이층은	이/mmd+층/ncn+은/jxc
돌과	돌/ncn+과/jcj
사막바닥	사막/ncn+바닥/ncn
사이의	사이/ncn+의/jcm
마찰계수를	마찰/ncn+계수/ncn+를/jco
작게	작/paa+게/ecx
해준다	하/px+어/ecx+주/px+ㄴ다/ef
.	./sf
#17:ph06[325]
공기와	공기/ncn+와/jcj
물체	물체/ncn
사이에	사이/ncn+에/jca
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
속도가	속도/ncn+가/jcs
있을	있/paa+을/etm
때	때/ncn
물체는	물체/ncn+는/jxc
상대운동을	상대/ncn+운동/ncn+을/jco
방해하는	방해/ncpa+하/xsv+는/etm
방향으로	방향/ncn+으로/jca
즉	즉/maj
공기가	공기/ncn+가/jcs
흐르는	흐르/pvg+는/etm
방향으로	방향/ncn+으로/jca
501013770       <                       </sl
b	b/f
>	>/sr
끌림항력	끌림/ncn+항력/ncn
D	D/f
501013820       </                      </sl+//sp
b	b/f
>	>/sr
를	를/jco
받는다	받/pvg+는다/ef
.	./sf
#17:ph06[241]
식	식/ncn
(	(/sl
6	6/nno
-	-/sd
25	25/nno
)	)/sr
로부터	로/jca+부터/jxc
주기	주기/ncn
501013960       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
tau	tau/f
501014000       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
가	가/jcs
물체의	물체/ncn+의/jcm
질량에	질량/ncn+에/jca
무관하고	무관/ncps+하/xsm+고/ecc
오직	오직/mag
매달린	매달리/pvg+ㄴ/etm
지점으로부터의	지점/ncn+으로/jca+부터/jxc+의/jcm
연직거리	연직/ncn+거리/ncn.
501014110       <                       </sl
TEX	TEX/f
>$	>/sr+$/su
L	L/f
\	\/sp
cos	cos/f
\	\/sp
theta	theta/f
501014190       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
에만	에/jca+만/jxc
관계된다는	관계/ncpa+되/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#17:ph06[173]
운전수가	운전/ncn+수/xsn+가/jcs
갑자기	갑자기/mag
커브길	커브/ncn+길/ncn
코너를	코너/ncn+를/jco
돌기	돌/pvg+기/etn
위해	위하/pvg+어/ecs
왼쪽으로	왼쪽/ncn+으로/jca
틀었을	틀/pvg+었/ep+을/etm
때	때/ncn
이	이/mmd
사람은	사람/ncn+은/jxc
오른쪽으로	오른쪽/ncn+으로/jca
미끄러져서	미끄러지/pvg+어서/ecs
차문의	차문/ncn+의/jcm
안쪽에	안/ncn+쪽/nbn+에/jca
부딪치게	부딪치/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph06[167]
보기를	보기/ncn+를/jco
들어	들/pvg+어/ecs
등속원운동	등속/ncn+원/ncn+운동/ncn
하는	하/pvg+는/etm
물체가	물체/ncn+가/jcs
그림	그림/ncn
(	(/sl
6	6/nno
-	-/sd
11	11/nno
)	)/sr
과	과/jct
같이	같/paa+이/xsa
줄	줄/ncn
끝에서	끝/ncn+에서/jca
돌고	돌/pvg+고/ecx
있는	있/px+는/etm
하키퍽이라면	하키퍽/ncn+이/jp+라/ef+면/ecs
줄의	줄/ncn+의/jcm
장력이	장력/ncn+이/jcs
구심력이	구심/ncn+력/xsn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph06[103]
이	이/mmd
상자는	상자/ncn+는/jxc
질량이	질량/ncn+이/jcs
없는	없/paa+는/etm
팽팽한	팽팽/ncps+하/xsm+ㄴ/etm
줄로	줄/ncn+로/jca
질량과	질량/ncn+과/jcj
마찰이	마찰/ncn+이/jcs
없는	없/paa+는/etm
도르래를	도르래/ncn+를/jco
거쳐	거치/pvg+어/ecs
질량	질량/ncn
m_	m_/f
{	{/sl
2	2/nnc
}=	}/sr+=/sy
14	14/nnc
kg	kg/su
의	의/jcm
다른	다르/paa+ㄴ/etm
상자와	상자/ncn+와/jcj
연결되어	연결/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
#17:ph06[42]
두	두/nnc
면이	면/ncn+이/jcs
서로	서로/mag
밀려	밀리/pvg+어/ecs
당겨질	당기/pvg+어/ecx+지/px+ㄹ/etm
때	때/ncn
용접이	용접/ncn+이/jcs
파열되기도	파열/ncpa+되/xsv+기/etn+도/jxc
하고	하/pvg+고/ecc
새롭게	새롭/paa+게/ecs
부딛치는	부딛치/pvg+는/etm
곳에서는	곳/ncn+에서/jca+는/jxc
새로운	새롭/paa+ㄴ/etm
용접점이	용접/ncn+점/ncn+이/jcs
생겨나기도	생기/pvg+어/ecx+나/px+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
[	[/sl
그림	그림/ncn
(	(/sl
6	6/nno
-	-/sd
3	3/nno
)].	)/sr+]/sr+./sf
#17:ph06[23]
그러다가	그러/pad+다가/ecs
가해주는	가하/pvg+어/ecx+주/px+는/etm
힘이	힘/ncn+이/jcs
어떤	어떤/mmd
크기에	크기/ncn+에/jca
도달하며	도달/ncpa+하/xsv+며/ecc
,	,/sp
블록은	블록/ncn+은/jxc
책상면과의	책상/ncn+면/ncn+과/jct+의/jcm
밀착된	밀착/ncpa+되/xsv+ㄴ/etm
상태로부터	상태/ncn+로/jca+부터/jxc
떨어져서	떨어지/pvg+어서/ecs
그림	그림/ncn
(	(/sl
6	6/nno
-	-/sd
1	1/nno
e	e/f
)	)/sr
와	와/jct
같이	같/paa+이/xsa
왼쪽으로	왼쪽/ncn+으로/jca
가속되면서	가속/ncpa+되/xsv+면서/ecs
움직인다	움직이/pvg+ㄴ다/ef
.	./sf
#17:ph05[795]
(	(/sl
b	b/f
)	)/sr
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
거리를	거리/ncn+를/jco
20	20/nnc
ft	ft/su
라	라/ef
하고	하/pvg+고/ecc
끊어지기	끊/pvg+어/ecx+지/px+기/etn
직전의	직전/ncn+의/jcm
상태로	상태/ncn+로/jca
가까스로	가까스로/mag
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
경우에	경우/ncn+에/jca
물건이	물건/ncn+이/jcs
땅에	땅/ncn+에/jca
닿는	닿/pvg+는/etm
순간의	순간/ncn+의/jcm
속도는	속도/ncn+는/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#17:ph05[745]
처음에	처음/ncn+에/jca
12	12/nnc
m	m/su
/	//sp
s	s/su
의	의/jcm
속도로	속도/ncn+로/jca
내려가다가	내리/pvg+어/ecs+가/pvg+다가/ecs
일정한	일정/ncps+하/xsm+ㄴ/etm
감속에	감속/ncn+에/jca
의해서	의하/pvg+어서/ecs
42	42/nnc
m	m/su
의	의/jcm
거리에서	거리/ncn+에서/jca
정지할	정지/ncpa+하/xsv+ㄹ/etm
때	때/ncn
승강기를	승강/ncn+기/xsn+를/jco
매단	매달/pvg+ㄴ/etm
줄에	줄/ncn+에/jca
걸리는	걸리/pvg+는/etm
장력을	장력/ncn+을/jco
구하여라	구하/pvg+여라/ef
.	./sf
#17:ph05[442]
식	식/ncn
(	(/sl
5	5/nno
-	-/sd
26	26/nno
)	)/sr
을	을/jco
보면	보/pvg+면/ecs
비탈은	비탈/ncn+은/jxc
중력을	중력/ncn+을/jco
약화시킴으로써	약화/ncpa+시키/xsv+ㅁ/etn+으로써/jca
떨어지는	떨어지/pvg+는/etm
효과를	효과/ncn+를/jco
쉽게	쉽/paa+게/ecs
살펴볼	살피/pvg+어/ecs+보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
구실을	구실/ncn+을/jco
함을	하/pvg+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#17:ph05[273]
그림	그림/ncn
(	(/sl
5	5/nno
-	-/sd
17	17/nno
)	)/sr
에서	에서/jca
보듯이	보/pvg+듯이/ecs
작용	작용/ncn
-	-/sd
반작용에서	반/xp+작용/ncn+에서/jca
각각의	각각/ncn+의/jcm
힘은	힘/ncn+은/jxc
다른	다르/paa+ㄴ/etm
물체에	물체/ncn+에/jca
따로	따로/mag
따로	따로/mag
걸리기	걸리/pvg+기/etn
때문에	때문/nbn+에/jca
서로	서로/mag
상쇄되는	상쇄/ncpa+되/xsv+는/etm
일이	일/ncn+이/jcs
없는	없/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#17:ph05[268]
"	"/sl
모든	모든/mma
작용에는	작용/ncn+에/jca+는/jxc
크기가	크기/ncn+가/jcs
같으나	같/paa+으나/ecs
반대쪽으로	반대/ncn+쪽/nbn+으로/jca
반작용이	반/xp+작용/ncn+이/jcs
항상	항상/mag
있다	있/paa+다/ef
"	"/sl
라는	라/ef+는/jxc
말귀는	말귀/ncn+는/jxc
이제	이제/mag
낯익으며	낯익/paa+으며/ecs
듣는	듣/pvg+는/etm
이에	이/npp+에/jca
따라	따르/pvg+아/ecs
갖가지	갖가지/mag
뜻을	뜻/ncn+을/jco
갖는다	갖/pvg+는다/ef
.	./sf
#17:ph05[176]
어떤	어떤/mmd
문제에서는	문제/ncn+에서/jca+는/jxc
힘이	힘/ncn+이/jcs
주어지고	주/pvg+어/ecx+지/px+고/ecc
다른	다르/paa+ㄴ/etm
문제에서는	문제/ncn+에서/jca+는/jxc
힘을	힘/ncn+을/jco
구하는	구하/pvg+는/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
이	이/mmd
경우	경우/ncn
모두	모두/mag
Newton	Newton/f
의	의/jcm
제	제/xp
2	2/nno
법칙을	법칙/ncn+을/jco
적용하는	적용/ncpa+하/xsv+는/etm
1	1/nnc
차원	차원/ncn
문제다	문제/ncn+다/ef
.	./sf
#17:ph05[65]
일반적으로	일반/ncn+적/xsn+으로/jca
기준물체가	기준/ncn+물체/ncn+가/jcs
a	a/f
의	의/jcm
가속도를	가속도/ncn+를/jco
힘	힘/ncn
F	F/f
가	가/jcs
작용하고	작용/ncpa+하/xsv+고/ecx
있음을	있/px+음/etn+을/jco
알며	알/pvg+며/ecc
(	(/sl
뉴턴	뉴턴/nq
단위로	단위/ncn+로/jca
표시된	표시/ncpa+되/xsv+ㄴ/etm
)	)/sr
힘의	힘/ncn+의/jcm
크기는	크기/ncn+는/jxc
(	(/sl
m	m/su
/	//sp
s	s/su
^{	^/sy+{/sl
2	2/nnc
}	}/sr
단위로	단위/ncn+로/jca
