
<tdmsfile>

머리는	머리/ncn+는/jxc
사람이다	사람/ncn+이/jp+다/ef
.	./sf

헤르첸슈타인	헤르첸슈타인/nq
(	(/sl
Herzenstein	Herzenstein/f
)	)/sr
은	은/jxc
1872	1872/nno
년	년/nbu
한국에	한국/nq+에/jca
와서	오/pvg+아서/ecs
,	,/sp
중부에	중부/ncn+에/jca
위치한	위치/ncpa+하/xsv+ㄴ/etm
풍중	풍중/nq
이라는	이/jp+라/ef+는/etm
곳에서	곳/ncn+에서/jca
민물고기를	민물고기/ncn+를/jco
채집하여	채집/ncpa+하/xsv+어/ecs
그중	그/mmd+중/nbn
한	한/nnc
종에	종/ncn+에/jca
Pungtungia	Pungtungia/f
herzi	herzi/f
Herzenstein	Herzenstein/f
이라는	이/jp+라/ef+는/etm
이름을	이름/ncn+을/jco
붙였다	붙이/pvg+었/ep+다/ef
.	./sf

Pungtungia	Pungtungia/f
는	는/jxc
풍중	풍중/nq
(	(/sl
Pungtung	Pungtung/f
)	)/sr
이라는	이/jp+라/ef+는/etm
지방명을	지방/ncn+명/ncn+을/jco
딴	따/pvg+ㄴ/etm
것이고	것/nbn+이/jp+고/ecs
herzi	herzi/f
는	는/jxc
자신의	자신/ncn+의/jcm
이름을	이름/ncn+을/jco
붙인	붙이/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

서유구가	서유구/nq+가/jcs
헤르첸슈타인보다	헤르첸슈타인/nq+보다/jca
적어도	적/paa+어도/ecs
30	30/nnc
년	년/nbu
이상이나	이상/ncn+이나/jxc
먼저	먼저/mag
이	이/mmd
물고기에	물고기/ncn+에/jca
관해	관하/pvg+어/ecs
기록해서	기록/ncpa+하/xsv+어서/ecs
책으로	책/ncn+으로/jca
펴냈다는	펴/pvg+어/ecx+내/px+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
생각할	생각/ncpa+하/xsv+ㄹ/etm
때	때/ncn
분통이	분통/ncn+이/jcs
터진다	터지/pvg+ㄴ다/ef
.	./sf

서유구	서유구/nq
,	,/sp
그분이	그/mmd+분/nbn+이/jcs
이	이/mmd
사실을	사실/ncn+을/jco
알았다면	알/pvg+았/ep+다/ef+면/ecs
아마도	아마도/mag
땅을	땅/ncn+을/jco
치고	치/pvg+고/ecc
울었을	울/pvg+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

[	[/sl
전어지	전어지/nq
]	]/sr
를	를/jco
비롯하여	비롯/ncps+하/xsm+어/ecs
많은	많/paa+은/etm
고서들을	고서/ncn+들/xsn+을/jco
볼	보/pvg+ㄹ/etm
때마다	때/ncn+마다/jxc
그런	그런/mmd
생각에	생각/ncn+에/jca
잠기게	잠기/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

서양인들의	서양/ncn+인/xsn+들/xsn+의/jcm
손에서	손/ncn+에서/jca
일본인들의	일본/nq+인/xsn+들/xsn+의/jcm
손으로	손/ncn+으로/jca
넘어갔을	넘어가/pvg+았/ep+을/etm
뿐	뿐/nbn
,	,/sp
우리는	우리/npp+는/jxc
팔짱을	팔짱/ncn+을/jco
끼고	끼/pvg+고/ecs
구경만	구경/ncn+만/jxc
할	하/pvg+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없었다	없/paa+었/ep+다/ef
.	./sf

그분은	그/mmd+분/nbn+은/jxc
1872	1872/nno
년부터	년/nbu+부터/jxc
1945	1945/nno
년까지의	년/nbu+까지/jxc+의/jcm
74	74/nnc
년	년/nbu
동안	동안/ncn
어류학계에	어류/ncn+학계/ncn+에/jca
어떤	어떤/mmd
일이	일/ncn+이/jcs
있었는지	있/paa+었/ep+는지/ecs
후배들에게	후배/ncn+들/xsn+에게/jca
알리기	알리/pvg+기/etn
위하여	위하/pvg+어/ecs
책	책/ncn
세	세/nnc
권을	권/nbu+을/jco
썼다	쓰/pvg+었/ep+다/ef
.	./sf

1972	1972/nno
년	년/nbu
이전에	이전/ncn+에/jca
우리	우리/npp
조상들이	조상/ncn+들/xsn+이/jcs
쌓아올린	쌓/pvg+아/ecx+올리/px+ㄴ/etm
업적에도	업적/ncn+에/jca+도/jxc
눈을	눈/ncn+을/jco
돌리게	돌리/pvg+게/ecx
했고	하/px+었/ep+고/ecs
방언	방언/ncn
조사의	조사/ncn+의/jcm
중요성을	중요/ncn+성/xsn+을/jco
강조하기도	강조/ncpa+하/xsv+기/etn+도/jxc
했다	하/pvg+었/ep+다/ef
.	./sf

그들은	그/npp+들/xsn+은/jxc
1945	1945/nno
년까지	년/nbu+까지/jxc
우리의	우리/npp+의/jcm
선배들과	선배/ncn+들/xsn+과/jct
외국	외국/ncn
학자들의	학자/ncn+들/xsn+의/jcm
손으로	손/ncn+으로/jca
축적된	축적/ncpa+되/xsv+ㄴ/etm
업적들에	업적/ncn+들/xsn+에/jca
대하여	대하/pvg+어/ecs
지대한	지대/ncps+하/xsm+ㄴ/etm
경의를	경의/ncn+를/jco
표하는	표하/pvg+는/etm
한편	한편/nbn
날카로운	날카롭/paa+ㄴ/etm
비판을	비판/ncn+을/jco
가하기	가하/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf

그들의	그/npp+들/xsn+의/jcm
손에	손/ncn+에/jca
의해	의하/pvg+어/ecs
1945	1945/nno
년까지	년/nbu+까지/jxc
등록되지	등록/ncpa+되/xsv+지/ecx
않았던	않/px+았/ep+던/etm
종들이	종/ncn+들/xsn+이/jcs
추가되기	추가/ncpa+되/xsv+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf

많은	많/paa+은/etm
소장학자들이	소장/ncn+학자/ncn+들/xsn+이/jcs
민물고기의	민물고기/ncn+의/jcm
미세한	미세/ncps+하/xsm+ㄴ/etm
분포에	분포/ncn+에/jca
관심을	관심/ncn+을/jco
표시하면서	표시/ncpa+하/xsv+면서/ecs
업적을	업적/ncn+을/jco
쌓아갔다	쌓/pvg+아/ecx+가/px+았/ep+다/ef
.	./sf

그뿐	그/npd+뿐/jxc
아니라	아니/paa+라/ecs
,	,/sp
민물고기의	민물고기/ncn+의/jcm
분포상을	분포/ncn+상/xsn+을/jco
지질사적	지질/ncn+사/xsn+적/xsn
입장에서	입장/ncn+에서/jca
분석하는	분석/ncpa+하/xsv+는/etm
일도	일/ncn+도/jxc
개척하기	개척/ncpa+하/xsv+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf

이들소장	이/npd+들/xsn+소장/ncn
학자들의	학자/ncn+들/xsn+의/jcm
활동은	활동/ncn+은/jxc
1970	1970/nno
년대	년대/nbu
,	,/sp
1980	1980/nno
년대로	년대/nbu+로/jca
해를	해/ncn+를/jco
거듭할수록	거듭/ncpa+하/xsv+ㄹ수록/ecs
활발해지고	활발/ncps+하/xsm+어/ecx+지/px+고/ecs
,	,/sp
신진	신진/ncn
학자들이	학자/ncn+들/xsn+이/jcs
속출하고	속출/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf

머리	머리/ncn
끝에서	끝/ncn+에서/jca
꼬리지느러미	꼬리/ncn+지느러미/ncn
끝까지의	끝/ncn+까지/jxc+의/jcm
길이가	길이/ncn+가/jcs
10	10/nnc
내지	내지/ncn
15	15/nnc
센티미터	센티미터/nbu
정도의	정도/ncn+의/jcm
개체들은	개체/ncn+들/xsn+은/jxc
많지만	많/paa+지만/ecs
20	20/nnc
센티미터를	센티미터/nbu+를/jco
넘는	넘/pvg+는/etm
개체는	개체/ncn+는/jxc
매우	매우/mag
드물다	드물/paa+다/ef
.	./sf

머리	머리/ncn
끝에서	끝/ncn+에서/jca
꼬리	꼬리/ncn
끝까지	끝/ncn+까지/jxc
폭이	폭/ncn+이/jcs
넓은	넓/paa+은/etm
까만	까맣/paa+ㄴ/etm
줄이	줄/ncn+이/jcs
몸의	몸/ncn+의/jcm
양측을	양측/ncn+을/jco
달리고	달리/pvg+고/ecx
있어서	있/px+어서/ecs
다른	다르/paa+ㄴ/etm
종과	종/ncn+과/jct
간단히	간단/ncn+히/xsa
구별할	구별/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

몸이	몸/ncn+이/jcs
검고	검/paa+고/ecc
지느러미에	지느러미/ncn+에/jca
검은	검/paa+은/etm
무늬들이	무늬/ncn+들/xsn+이/jcs
있어서	있/paa+어서/ecs
돌고기와	돌고기/ncn+와/jct
구별하는	구별/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
어렵지	어렵/paa+지/ecx
않다	않/px+다/ef
.	./sf

모리	모리/nq
는	는/jxc
충청북도	충청북도/nq
영동군의	영동군/nq+의/jcm
황간과	황간/nq+과/jcj
전라북도	전라북도/nq
진안에서	진안/nq+에서/jca
채집하여	채집/ncpa+하/xsv+어/ecs
1935	1935/nno
년에	년/nbu+에/jca
신종으로	신종/ncn+으로/jca
발표한	발표/ncpa+하/xsv+ㄴ/etm
종이다	종/ncn+이/jp+다/ef
.	./sf

Pungtungia	Pungtungia/f
와	와/jct
유사하지만	유사/ncps+하/xsm+지만/ecs
그것은	그것/npd+은/jxc
아니라는	아니/paa+라/ef+는/etm
뜻에서	뜻/ncn+에서/jca
사용한	사용/ncpa+하/xsv+ㄴ/etm
것이고	것/nbn+이/jp+고/ecs
,	,/sp
nigra	nigra/f
는	는/jxc
검다는	검/paa+다/ef+는/etm
뜻이다	뜻/ncn+이/jp+다/ef
.	./sf

전박사는	전/nq+박사/ncn+는/jxc
기쁨이	기쁨/ncn+이/jcs
넘치는	넘치/pvg+는/etm
얼굴로	얼굴/ncn+로/jca
필자를	필자/ncn+를/jco
보고	보/pvg+고/ecs
신종	신종/ncn
을	을/jco
발견했다며	발견/ncpa+하/xsv+었/ep+다/ef+며/ecs
좋아했다	좋/paa+아/ecx+하/px+었/ep+다/ef
.	./sf

그러나	그러나/maj
자세히	자세/ncn+히/xsa
보면	보/pvg+면/ecs
외형에서	외형/ncn+에서/jca
많은	많/paa+은/etm
차이를	차이/ncn+를/jco
발견할	발견/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

돌고기는	돌고기/ncn+는/jxc
입이	입/ncn+이/jcs
주둥이의	주둥이/ncn+의/jcm
끝에	끝/ncn+에/jca
있고	있/paa+고/ecs
입술의	입술/ncn+의/jcm
양쪽	양쪽/ncn
끝이	끝/ncn+이/jcs
두툼하지만	두툼/ncps+하/xsm+지만/ecs
,	,/sp
본종은	본/mmd+종/ncn+은/jxc
입이	입/ncn+이/jcs
주둥이의	주둥이/ncn+의/jcm
밑에	밑/ncn+에/jca
있고	있/paa+고/ecc
말굽형이며	말굽/ncn+형/xsn+이/jp+며/ecs
,	,/sp
입술이	입술/ncn+이/jcs
두툼하지도	두툼/ncps+하/xsm+지도/ecs
않다	않/pvg+다/ef
.	./sf

전박사는	전/nq+박사/ncn+는/jxc
1980	1980/nno
년에	년/nbu+에/jca
본종을	본/mmd+종/ncn+을/jco
Pseudopungtungia	Pseudopungtungia/f
tenuicorpus	tenuicorpus/f
Jeon	Jeon/f
et	et/f
Choi	Choi/f
라는	라/ef+는/etm
학명을	학명/ncn+을/jco
붙여서	붙이/pvg+어서/ecs
신종으로	신종/ncn+으로/jca
발표했다	발표/ncpa+하/xsv+었/ep+다/ef
.	./sf

이름을	이름/ncn+을/jco
붙인	붙이/pvg+ㄴ/etm
사람	사람/ncn
중에	중/nbn+에/jca
필자의	필자/ncn+의/jcm
이름이	이름/ncn+이/jcs
얹혀	얹히/pvg+어/ecx
있으나	있/px+으나/ecs
,	,/sp
실은	실은/mag
전박사에게	전/nq+박사/ncn+에게/jca
조금도	조금/ncn+도/jca
도움을	도움/ncn+을/jco
드리지	드리/pvg+지/ecx
못했었다	못하/px+었었/ep+다/ef
.	./sf

가는돌고기는	가/paa+는/etm+돌고기/ncn+는/jxc
그후	그/mmd+후/ncn
여기저기에서	여기저기/ncn+에서/jca
발견되었으나	발견/ncpa+되/xsv+었/ep+으나/ecs
,	,/sp,
임진강을	임진강/nq+을/jco
포함한	포함/ncpa+하/xsv+ㄴ/etm
한강	한강/nq
수계	수계/ncn
이외에서는	이외/ncn+에서/jca+는/jxc
아직	아직/mag
발견되지	발견/ncpa+되/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf

돌고기에	돌고기/ncn+에/jca
맺힌	맺히/pvg+ㄴ/etm
천추의	천추/ncn+의/jcm
한은	한/ncn+은/jxc
좀체로	좀체/ncn+로/jca
풀리지	풀리/pvg+지/ecx
않겠지만	않/px+겠/ep+지만/ecs
,	,/sp
감돌고기의	감돌고기/ncn+의/jcm
분포판도	분포/ncn+판도/ncn
개편과	개편/ncpa+과/jcj
생활사	생활/ncn+사/xsn
구명	구명/ncn
,	,/sp
가는돌고기의	가는돌고기/ncn+의/jcm
발견으로	발견/ncn+으로/jca
조상들의	조상/ncn+들/xsn+의/jcm
넋을	넋/ncn+을/jco
달래고	달래/pvg+고/ecx
싶다	싶/px+다/ef
.	./sf

실물을	실물/ncn+을/jco
아는	알/pvg+는/etm
사람은	사람/ncn+은/jxc
적고	적/paa+고/ecc
이름만	이름/ncn+만/jxc
아는	알/pvg+는/etm
사람이	사람/ncn+이/jcs
더	더/mag
많은	많/paa+은/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf

문화재보호법에	문화/ncn+재/xsn+보호/ncn+법/ncn+에/jca
따라	따르/pvg+아/ecc
천연기념물로	천연/ncn+기념/ncn+물/xsn+로/jca
지정을	지정/ncn+을/jco
받게	받/pvg+게/ecx
되면	되/pvg+면/ecs
지정된	지정/ncpa+되/xsv+ㄴ/etm
구역내에서는	구역/ncn+내/nbn+에서/jca+는/jxc
자유롭게	자유/ncps+롭/xam+게/ecc
잡지	잡/pvg+지/ecx
못한다	못하/px+ㄴ다/ef
.	./sf

머리	머리/ncn
끝에서	끝/ncn+에서/jca
꼬리	꼬리/ncn
끝까지의	끝/ncn+까지/jxc+의/jcm
길이가	길이/ncn+가/jcs
40	40/nnc
센티미터에서	센티미터/nbu+에서/jca
70	70/nnc
센티미터	센티미터/nbu
되는	되/pvg+는/etm
것은	것/nbn+은/jxc
보통이고	보통/ncn+이/jp+고/ecs
,	,/sp
때로는	때로/mag+는/jxc
1	1/nnc
미터	미터/nbu
이상	이상/ncn
되는	되/pvg+는/etm
것도	것/nbn+도/jxc
발견된다	발견/ncpa+되/xsv+ㄴ다/ef
.	./sf

등지느러미와	등/ncn+지느러미/ncn+와/jcj
꼬리지느러미	꼬리/ncn+지느러미/ncn
사이에	사이/ncn+에/jca
기름지느러미가	기름/ncn+지느러미/ncn+가/jcs
따로	따로/mag
있고	있/paa+고/ecs
,	,/sp
눈보다	눈/ncn+보다/jca
작은	작/paa+은/etm
흑갈색	흑갈색/ncn
반점이	반점/ncn+이/jcs
온몸에	온/mma+몸/ncn+에/jca
흩어져	흩어지/pvg+어/ecx
있어서	있/px+어서/ecs
다른	다르/paa+ㄴ/etm
물고기와	물고기/ncn+와/jca
쉽게	쉽/paa+게/ecs
구별할	구별/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

이런	이런/mmd
조건을	조건/ncn+을/jco
갖추려면	갖추/pvg+려면/ecs
주변에	주변/ncn+에/jca
나무가	나무/ncn+가/jcs
우거져서	우거지/pvg+어서/ecs
수면이	수면/ncn+이/jcs
태양의	태양/ncn+의/jcm
직사광선을	직사/ncn+광선/ncn+을/jco
받지	받/pvg+지/ecx
않는	않/px+는/etm
곳이어야	곳/ncn+이/jp+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf

열목어는	열목어/ncn+는/jxc
육식성이어서	육식/ncn+성/xsn+이/jp+어서/ecs
물	물/ncn
속에	속/ncn+에/jca
사는	살/pvg+는/etm
곤충의	곤충/ncn+의/jcm
유충이나	유충/ncn+이나/jcj
어린	어리/paa+ㄴ/etm
물고기들을	물고기/ncn+들/xsn+을/jco
잡아먹는다	잡/pvg+아/ecx+먹/px+는다/ef
.	./sf

눈이	눈/ncn+이/jcs
녹으면	녹/pvg+으면/ecs
암컷과	암컷/ncn+과/jcj
수컷이	수컷/ncn+이/jcs
한	한/nnc
군데	군데/nbu
모여서	모이/pvg+어서/ecs
온통	온통/mag
소란을	소란/nccn+을/jco
피운다	피우/pvg+ㄴ다/ef
.	./sf

백두산	백두산/nq
기슭	기슭/ncn
,	,/sp
사람의	사람/ncn+의/jcm
출입이	출입/ncn+이/jcs
드문	드물/paa+ㄴ/etm
곳에	곳/ncn+에/jca
사는	살/pvg+는/etm
열목어들은	열목어/ncn+들/xsn+은/jxc
사람을	사람/ncn+을/jco
보아도	보/pvg+아도/ecs
피할	피하/pvg+ㄹ/etm
줄을	줄/nbn+을/jco
모르고	모르/pvg+고/ecc
,	,/sp
그물을	그물/ncn+을/jco
사용하지	사용/ncpa+하/xsv+지/ecx
않아도	않/px+아도/ecs
지팡이로	지팡이/ncn+로/jca
쳐서	치/pvg+어서/ecs
손으로	손/ncn+으로/jca
잡을	잡/pvg+을/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

1985	1985/nno
년	년/nbu
8	8/nno
월	월/nbu
어느	어느/mmd
날	날/ncn
,	,/sp
설악산	설악산/nq
백담사	백담사/nq
계곡에서	계곡/ncn+에서/jca
많은	많/paa+은/etm
열목어들이	열목어/ncn+들/xsn+이/jcs
줄기차게	줄기차/paa+게/ecs
폭포를	폭포/ncn+를/jco
뛰어오르는	뛰/pvg+어/ecx+오르/px+는/etm
광경을	광경/ncn+을/jco
넋을	넋/ncn+을/jco
잃고	잃/pvg+고/ecs
지켜볼	지키/pvg+어/ecx+보/px+ㄹ/etm
때도	때/ncn+도/jxc
그	그/mmd
기록을	기록/ncn+을/jco
생각하고	생각/ncpa+하/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

얼마나	얼마나/mag
큰	크/paa+ㄴ/etm
것이었느냐고	것/nbn+이/jp+었/ep+느냐/ef+고/jcr
했더니	하/pvg+었/ep+더니/ecs
,	,/sp
그	그/mmd
청년은	청년/ncn+은/jxc
자기의	자기/npp+의/jcm
키보다	키/ncn+보다/jca
커서	크/paa+어서/ecs
끈으로	끈/ncn+으로/jca
꿰어	꿰/pvg+어/ecs
어깨에	어깨/ncn+에/jca
메었더니	메/pvg+었/ep+더니/ecs
땅에	땅/ncn+에/jca
끌리더라고	끌리/pvg+더라/ef+고/jcr
했다	하/pvg+었/ep+다/ef
.	./sf

땅에	땅/ncn+에/jca
끌렸다는	끌리/pvg+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
보면	보/pvg+면/ecs
,	,/sp
적어도	적/paa+어도/ecs
몸길이가	몸/ncn+길이/ncn+가/jcs
1	1/nnc
미터	미터/nbu
이상은	이상/ncn+은/jxc
되었을	되/pvg+었/ep+을/etm
듯싶다	듯/nbn+싶/px+다/ef
.	./sf

지금은	지금/ncn+은/jxc
탄광	탄광/ncn
개발로	개발/ncn+로/jca
먹물이	먹물/ncn+이/jcs
흐르고	흐르/pvg+고/ecx
있는	있/px+는/etm
지장천에서	지장천/nq+에서/jca
있었던	있/paa+었/ep+던/etm
일이라고	일/ncn+이/jp+라/ef+고/jcr
하니	하/pvg+니/ecs
,	,/sp
신기하게	신기/ncps+하/xsm+게/ecs
들리기만	들리/pvg+기/etn+만/jxc
했다	하/pvg+었/ep+다/ef
.	./sf

해빙기가	해빙/ncn+기/xsn+가/jcc
되면	되/pvg+면/ecs
골짜기마다	골짜기/ncn+마다/jxc
소마다	소/ncn+마다/jxc
장작만큼이나	장작/ncn+만큼/jxc+이나/jxc
큰	크/paa+ㄴ/etm
열목어들이	열목어/ncn+들/xsn+이/jcs
몰려들어	몰리/pvg+어/ecx+들/px+어/ecs
소란을	소란/ncn+을/jco
피우는	피우/pvg+는/etm
광경이	광경/ncn+이/jcs
장관이었다고	장관/ncn+이/jp+었/ep+다/ef+고/jcr
,	,/sp
말만	말/ncn+만/jxc
해도	하/pvg+어도/ecs
흥분이	흥분/ncn+이/jcc
되는지	되/pvg+는지/ecs
얼굴이	얼굴/ncn+이/jcs
상기된다	상기/ncpa+되/xsv+ㄴ다/ef
.	./sf

그분의	그/mmd+분/nbn+의/jcm
설명이	설명/ncn+이/jcs
어찌나	어찌나/mag
실감이	실감/ncn+이/jcs
나는지	나/pvg+는지/ecs
,	,/sp
물방울이	물방울/ncn+이/jcs
튀는	튀/pvg+는/etm
소리까지	소리/ncn+까지/jxc
들리는	들리/pvg+는/etm
것	것/nbn
같았다	같/paa+았/ep+다/ef
.	./sf

몸의	몸/ncn+의/jcm
길이	길이/ncn
,	,/sp
생긴	생기/pvg+ㄴ/etm
모양	모양/ncn
,	,/sp
색채	색채/ncn
,	,/sp
반문	반문/ncn
등을	등/nbn+을/jco
자세히	자세/ncn+히/xsa
물어보고	묻/pvg+어/ecx+보/px+고/ecs
,	,/sp
사진도	사진/ncn+도/jxc
보여주었다	보이/pvg+어/ecx+주/px+었/ep+다/ef
.	./sf

강원도	강원도/nq
서부	서부/ncn
산악지대에서	산악/ncn+지대/ncn+에서/jca
충북과	충북/nq+과/jcj
경북의	경북/nq+의/jcm
깊은	깊/paa+은/etm
산악지대에	산악/ncn+지대/ncn+에/jca
걸쳐서	걸치/pvg+어서/ecs
널리	널리/mag
살았던	살/pvg+았/ep+던/etm
것으로	것/nbn+으로/jca
생각된다	생각/ncpa+되/xsv+ㄴ다/ef
.	./sf

열목어가	열목어/ncn+가/jcs
한강	한강/nq
상류에서	상류/ncn+에서/jca
발견된	발견/ncpa+되/xsv+ㄴ/etm
것도	것/nbn+도/jxc
기적적인	기적/ncn+적/xsn+이/jp+ㄴ/etm
사실인데	사실/ncn+이/jp+ㄴ데/ecs
낙동강에서	낙동강/nq+에서/jca
발견되다니	발견/ncpa+되/xsv+다니/ef
,	,/sp
있을	있/paa+을/etm
수	수/nbn
없는	없/paa+는/etm
일	일/ncn
같았다	같/paa+았/ep+다/ef
.	./sf

그만큼	그/npd+만큼/jxc
희귀한	희귀/ncps+하/xsm+ㄴ/etm
종이	종/ncn+이/jcs
낙동강에서	낙동강/nq+에서/jca
발견되었다고	발견/ncpa+되/xsv+었/ep+다/ef+고/jcr
해서	하/pvg+어서/ecs
매일같이	매일/ncn+같이/jca
신문에	신문/ncn+에/jca
대서특필했고	대서특필/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
각종	각종/mag
잡지에도	잡지/ncn+에/jca+도/jxc
보도되었다	보도/ncpa+되/xsv+었/ep+다/ef
.	./sf

학술	학술/ncn
잡지에까지	잡지/ncn+에/jca+까지/jxc
이	이/mmd
사실이	사실/ncn+이/jcs
게재되어	게재/ncpa+되/xsv+어/ecs
학계에서도	학계/ncn+에서/jca+도/jxc
인정을	인정/ncn+을/jco
받게	받/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

이런	이런/mmd
사실을	사실/ncn+을/jco
최근에	최근/ncn+에/jca
안	알/pvg+ㄴ/etm
필자는	필자/ncn+는/jxc
웃어야	웃/pvg+어야/ecs
할지	하/pvg+ㄹ지/ecs
울어야	울/pvg+어야/ecs
할지	하/pvg+ㄹ지/ecs
,	,/sp
서글픈	서글프/paa+ㄴ/etm
생각과	생각/ncn+과/jct
함께	함께/mag
엄습해	엄습/ncps+하/xsm+어/ecs
오는	오/pvg+는/etm
울분을	울분/ncn+을/jco
참기	참/pvg+기/etn
힘들었다	힘/ncn+들/pvg+었/ep+다/ef
.	./sf

어떤	어떤/mmd
형태로든	형태/ncn+로/jca+든/jxc
이	이/mmd
사실이	사실/ncn+이/jcs
국민에게	국민/ncn+에게/jca
알려졌었다면	알리/pvg+어/ecx+지/px+었었/ep+다/ef+면/ecs
1937	1937/nno
년의	년/nbu+의/jcm
열목어	열목어/ncn
발견	발견/ncn
사건과	사건/ncn+과/jct
같은	같/paa+은/etm
해프닝은	해프닝/ncn+은/jxc
일어나지	일어나/pvg+지/ecx
않았을	않/px+았/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

그것이	그것/npd+이/jcs
4	4/nnc
세기	세기/nbu
동안이나	동안/ncn+이나/jxc
햇빛을	햇빛/ncn+을/jco
보지	보/pvg+지/ecx
못하고	못하/px+고/ecc
숨겨져	숨기/pvg+어/ecx+지/px+어/ecx
있었던	있/px+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

그런데도	그러하/pvd+ㄴ데도/ecs
4	4/nnn
세기	세기/nbu
동안이나	동안/ncn+이나/jxc
숨겨져	숨기/pvg+어/ecx+지/px+어/ecx
있었다는	있/px+었/ep+다/ef+는/etm
데	데/nbn
대해서는	대하/pvg+어서/ecs+는/jxc
변명의	변명/ncn+의/jcm
여지가	여지/ncn+가/jcs
없다	없/paa+다/ef
.	./sf

앞에	앞/ncn+에/jca
소개한	소개/ncpa+하/xsv+ㄴ/etm
고서들에	고서/ncn+들/xsn+에/jca
기록된	기록/ncpa+되/xsv+ㄴ/etm
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
열목어의	열목어/ncn+의/jcm
산지만	산지/ncn+만/jxc
보아도	보/pvg+아도/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

강릉대도호부	강릉대도호부/nq
,	,/sp
원주목	원주목/nq
,	,/sp
춘천도호부	춘천도호부/nq
,	,/sp
정선군	정선군/nq
,	,/sp
영월군	영월군/nq
,	,/sp
평창군	평창군/nq
,	,/sp
인제군	인제군/nq
